id,symbol,price,side,volume,high,low,max_profit,max_loss,,
15701815,XRPUSDT,0.4253,1,228.1,0.4272,0.4159,2.14414,0.43339,,
15701816,XRPUSDT,0.4252,1,890.6,0.4272,0.4159,8.28258,1.7812,,
15701818,XRPUSDT,0.4248,2,185.1,0.4272,0.4159,0.44424,1.64739,,
15701819,XRPUSDT,0.4249,1,235.2,0.4272,0.4159,2.1168,0.54096,,
15701820,BTCUSDT,27805.08,1,0.0005,27876.52,27000,0.40254,0.03572,,
15701821,XRPUSDT,0.425,1,233.5,0.4272,0.4159,2.12485,0.5137,,
15701822,XRPUSDT,0.4247,1,232.2,0.4272,0.4159,2.04336,0.5805,,
15701823,XRPUSDT,0.4248,1,232.2,0.4272,0.4159,2.06658,0.55728,,
15701824,XRPUSDT,0.4248,1,232.2,0.4272,0.4159,2.06658,0.55728,,
15701826,XRPUSDT,0.425,1,232.1,0.4272,0.4159,2.11211,0.51062,,
15701828,XRPUSDT,0.4254,1,231.9,0.4272,0.4159,2.20305,0.41742,,
15701830,XRPUSDT,0.4255,1,231.9,0.4272,0.4159,2.22624,0.39423,,
15701831,BTCUSDT,27875.37,2,0.0125,27876.52,27000,0.014375,10.942125,,
15701832,XRPUSDT,0.4255,1,233.3,0.4272,0.4159,2.23968,0.39661,,
15701833,XRPUSDT,0.4255,1,231.9,0.4272,0.4159,2.22624,0.39423,,
15701834,XRPUSDT,0.4255,1,233.3,0.4272,0.4159,2.23968,0.39661,,
15701837,ETHUSDT,1764.1,1,0.179,1767.12,1728.71,6.33481,0.54058,,
15701838,XRPUSDT,0.4255,1,228,0.4272,0.4159,2.1888,0.3876,,
15701839,XRPUSDT,0.4255,1,834.5,0.4272,0.4159,8.0112,1.41865,,
15701841,XRPUSDT,0.4251,1,233.6,0.4272,0.4159,2.14912,0.49056,,
15701842,XRPUSDT,0.4252,1,227.1,0.4272,0.4159,2.11203,0.4542,,
15701843,XRPUSDT,0.4254,1,233.4,0.4272,0.4159,2.2173,0.42012,,
15701844,XRPUSDT,0.4254,1,233.4,0.4272,0.4159,2.2173,0.42012,,
15701845,XRPUSDT,0.4254,1,233.4,0.4272,0.4159,2.2173,0.42012,,
15701846,XRPUSDT,0.4251,1,48.7,0.4272,0.4159,0.44804,0.10227,,
15701848,XRPUSDT,0.4244,2,3000,0.4272,0.4159,8.4,25.5,,
15701849,XRPUSDT,0.4246,2,42.3,0.4272,0.4159,0.10998,0.36801,,
15701850,XRPUSDT,0.4248,1,232.9,0.4272,0.4159,2.07281,0.55896,,
15701851,XRPUSDT,0.4248,1,849.5,0.4272,0.4159,7.56055,2.0388,,
15701854,XRPUSDT,0.4247,1,233,0.4272,0.4159,2.0504,0.5825,,
15701855,XRPUSDT,0.4246,1,232.8,0.4272,0.4159,2.02536,0.60528,,
15701856,XRPUSDT,0.4246,1,232.8,0.4272,0.4159,2.02536,0.60528,,
15701857,XRPUSDT,0.4247,1,232.8,0.4272,0.4159,2.04864,0.582,,
15701858,ETHUSDT,1760.49,1,0.01,1767.12,1728.71,0.3178,0.0663,,
15701859,XRPUSDT,0.4247,1,232.8,0.4272,0.4159,2.04864,0.582,,
15701860,XRPUSDT,0.4242,1,232.8,0.4272,0.4159,1.93224,0.6984,,
15701863,BTCUSDT,27800,1,0.0036,27876.52,27000,2.88,0.275472,,
15701864,XRPUSDT,0.4239,1,233,0.4272,0.4159,1.864,0.7689,,
15701865,XRPUSDT,0.4241,2,2319,0.4272,0.4159,7.1889,19.0158,,
15701866,XRPUSDT,0.4242,2,301,0.4272,0.4159,0.903,2.4983,,
15701867,XRPUSDT,0.4244,1,233.1,0.4272,0.4159,1.98135,0.65268,,
15701868,XRPUSDT,0.4242,1,233.1,0.4272,0.4159,1.93473,0.6993,,
15701869,XRPUSDT,0.4244,1,233.5,0.4272,0.4159,1.98475,0.6538,,
15701870,XRPUSDT,0.4246,1,228.6,0.4272,0.4159,1.98882,0.59436,,
15701871,XRPUSDT,0.4245,2,26.2,0.4272,0.4159,0.07074,0.22532,,
15701872,XRPUSDT,0.4246,1,233.4,0.4272,0.4159,2.03058,0.60684,,
15701873,XRPUSDT,0.4246,1,233.3,0.4272,0.4159,2.02971,0.60658,,
15701874,XRPUSDT,0.4244,1,233.5,0.4272,0.4159,1.98475,0.6538,,
15701876,XRPUSDT,0.424,1,233.6,0.4272,0.4159,1.89216,0.74752,,
15701878,XRPUSDT,0.4241,1,233.7,0.4272,0.4159,1.91634,0.72447,,
15701880,XRPUSDT,0.4239,2,1762,0.4272,0.4159,5.8146,14.096,,
15701881,XRPUSDT,0.424,1,30.9,0.4272,0.4159,0.25029,0.09888,,
15701882,XRPUSDT,0.4239,2,1099.7,0.4272,0.4159,3.62901,8.7976,,
15701883,XRPUSDT,0.424,1,233.6,0.4272,0.4159,1.89216,0.74752,,
15701884,XRPUSDT,0.424,1,70.5,0.4272,0.4159,0.57105,0.2256,,
15701885,XRPUSDT,0.4239,2,82.2,0.4272,0.4159,0.27126,0.6576,,
15701886,XRPUSDT,0.4239,1,23.6,0.4272,0.4159,0.1888,0.07788,,
15701888,XRPUSDT,0.4235,1,1443.1,0.4272,0.4159,10.96756,5.33947,,
15701890,BTCUSDT,27750,1,0.0036,27876.52,27000,2.7,0.455472,,
15701892,ETHUSDT,1756.18,2,0.01,1767.12,1728.71,0.1094,0.2747,,
15701897,XRPUSDT,0.4244,1,233.8,0.4272,0.4159,1.9873,0.65464,,
15701899,XRPUSDT,0.4243,1,233.8,0.4272,0.4159,1.96392,0.67802,,
15701900,XRPUSDT,0.4243,1,233.5,0.4272,0.4159,1.9614,0.67715,,
15701902,XRPUSDT,0.4242,1,233.5,0.4272,0.4159,1.93805,0.7005,,
15701903,XRPUSDT,0.4245,1,233.4,0.4272,0.4159,2.00724,0.63018,,
15701904,XRPUSDT,0.4245,1,233.4,0.4272,0.4159,2.00724,0.63018,,
15701905,XRPUSDT,0.4245,1,233.7,0.4272,0.4159,2.00982,0.63099,,
15701907,XRPUSDT,0.4245,1,233.8,0.4272,0.4159,2.01068,0.63126,,
15701908,XRPUSDT,0.4245,1,233.8,0.4272,0.4159,2.01068,0.63126,,
15701915,XRPUSDT,0.4251,1,104.3,0.4272,0.4159,0.95956,0.21903,,
15701917,ETHUSDT,1760,2,0.51,1767.12,1728.71,3.6312,15.9579,,
15701919,XRPUSDT,0.4253,2,164.5,0.4272,0.4159,0.31255,1.5463,,
15701920,XRPUSDT,0.4253,2,164.5,0.4272,0.4159,0.31255,1.5463,,
15701921,XRPUSDT,0.425,1,1028.2,0.4272,0.4159,9.35662,2.26204,,
15701927,ETHUSDT,1755,1,0.066,1767.12,1728.71,1.73514,0.79992,,
15701930,XRPUSDT,0.4237,1,23.6,0.4272,0.4159,0.18408,0.0826,,
15701931,XRPUSDT,0.4236,1,505.9,0.4272,0.4159,3.89543,1.82124,,
15701932,ETHUSDT,1753,1,4.995,1767.12,1728.71,121.32855,70.5294,,
15701937,XRPUSDT,0.4236,1,569.4,0.4272,0.4159,4.38438,2.04984,,
